Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Leo Carlsson C,5 UFA,"","C",NHL,21,18.0,18.0,18.0,18.0,18.0,UFA,0,201,201,False
Kirill Kaprizov LW,8 UFA,"NMC","LW",NHL,29,17.0,17.0,17.0,17.0,17.0,17.0,,,,False
Connor Bedard C,5 UFA,"","C",NHL,21,15.0,15.0,15.0,15.0,15.0,UFA,0,219,219,False
Leon Draisaitl C,7 UFA,"NMC","C, LW",NHL,30,14.0,14.0,14.0,14.0,14.0,14.0,,,,False
Jack Eichel C,8 UFA,"NMC","C",NHL,29,13.5,13.5,13.5,13.5,13.5,13.5,,,,False
Auston Matthews C,2 UFA,"NMC","C",NHL,28,13.25,13.25,UFA,,,,,,,False
Nathan MacKinnon C,5 UFA,"NMC","C",NHL,31,12.6,12.6,12.6,12.6,12.6,UFA,,,,False
Connor McDavid C,2 UFA,"NMC","C",NHL,29,12.5,12.5,UFA,,,,,,,False
Kyle Connor LW,8 UFA,"NMC","LW",NHL,29,12.0,12.0,12.0,12.0,12.0,12.0,,,,False
Mitch Marner C,7 UFA,"NMC","C, RW, LW",NHL,29,12.0,12.0,12.0,12.0,12.0,12.0,,,,False
Mikko Rantanen RW,7 UFA,"NMC","RW",NHL,29,12.0,12.0,12.0,12.0,12.0,12.0,,,,False
Jason Robertson LW,1 UFA,"","LW",NHL,27,12.0,UFA,,,,,0,456,456,False
Elias Pettersson C,6 UFA,"NMC","C",NHL,27,11.6,11.6,11.6,11.6,11.6,11.6,,,,False
Igor Shesterkin G,7 UFA,"NMC","G",NHL,30,11.503125,11.503125,11.503125,11.503125,11.503125,11.503125,0,325,325,False
Martin Necas RW,8 UFA,"NMC","RW, C",NHL,27,11.5,11.5,11.5,11.5,11.5,11.5,,,,False
William Nylander RW,6 UFA,"NMC","RW",NHL,30,11.5,11.5,11.5,11.5,11.5,11.5,,,,False
David Pastrnak RW,5 UFA,"NMC","RW",NHL,30,11.25,11.25,11.25,11.25,11.25,UFA,,,,False
Pavel Dorofeyev RW,7 UFA,"","RW, LW",NHL,25,11.0,11.0,11.0,11.0,11.0,11.0,0,231,231,False
Artemi Panarin LW,2 UFA,"NMC","LW",NHL,34,11.0,11.0,UFA,,,,,,,False
Adrian Kempe RW,8 UFA,"NMC","RW",NHL,29,10.625,10.625,10.625,10.625,10.625,10.625,,,,False
Alex Tuch RW,8 UFA,"NMC","RW",NHL,30,10.5,10.5,10.5,10.5,10.5,10.5,,,,False
Jonathan Huberdeau LW,5 UFA,"NMC","LW",NHL,33,10.5,10.5,10.5,10.5,10.5,UFA,,,,False
Logan Cooley C,8 UFA,"","C",NHL,22,10.0,10.0,10.0,10.0,10.0,10.0,0,211,211,False
Aleksander Barkov C,4 UFA,"NMC","C",NHL,30,10.0,10.0,10.0,10.0,UFA,,,,,False
Tyler Seguin RW,1 UFA,"NMC","RW, C, LW",NHL,34,9.85,UFA,,,,,,,,False
Erik Karlsson D,1 UFA,"NMC","RD",NHL,36,9.775,UFA,,,,,,,,False
Sebastian Aho C,6 UFA,"NMC","C",NHL,29,9.75,9.75,9.75,9.75,9.75,9.75,,,,False
Matthew Tkachuk RW,4 UFA,"NMC","RW, LW",NHL,28,9.5,9.5,9.5,9.5,UFA,,,,,False
Brayden Point C,4 UFA,"NMC","C",NHL,30,9.5,9.5,9.5,9.5,UFA,,,,,False
